Country,Code,Year,Energy use (kg of oil equivalent per capita),GDP per capita,Population (historical estimates),Continent
Australia,AUS,2015,63776.78473,47567.68,23820240,Oceania
Austria,AUT,2015,44197.48086,52873.86,8642422,Europe
Belgium,BEL,2015,54518.96281,49456.4,11248306,Europe
Canada,CAN,2015,88752.50746,47522.14,35732120,North America
Chile,CHL,2015,23454.07563,24464.746,17870122,South America
Czechia,CZE,2015,44891.83489,36168.418,10523801,Europe
Denmark,DNK,2015,32757.22664,52892.645,5677795,Europe
Estonia,EST,2015,48535.78952,31038.805,1314658,Europe
Finland,FIN,2015,68904.261,45072.59,5479457,Europe
France,FRA,2015,42938.16701,43345.785,63809768,Europe
Germany,DEU,2015,44398.09836,51159.297,82073232,Europe
Greece,GRC,2015,25377.48573,28260.387,10806644,Europe
Hungary,HUN,2015,28292.90227,27528.307,9844250,Europe
Iceland,ISL,2015,203279.5256,52142.934,331068,Europe
Ireland,IRL,2015,32795.15439,71490.805,4665764,Europe
Israel,ISR,2015,32306.68858,37321.016,8007777,Asia
Italy,ITA,2015,28862.806,40247.83,60232908,Europe
Japan,JPN,2015,39874.11907,40402.582,127250936,Asia
Luxembourg,LUX,2015,76157.96178,113182.73,569415,Europe
Mexico,MEX,2015,18132.55397,19542.89,120149896,North America
Netherlands,NLD,2015,49230.30172,52974.117,17041110,Europe
New Zealand,NZL,2015,51538.5148,41020.312,4590591,Oceania
Norway,NOR,2015,67659.11482,62987.516,5190357,Europe
Poland,POL,2015,28961.09927,27667.69,38553148,Europe
Portugal,PRT,2015,24791.46166,31118.791,10365436,Europe
Slovakia,SVK,2015,34932.61581,28728.156,5424449,Europe
Slovenia,SVN,2015,36923.76834,33799.727,2080865,Europe
South Korea,KOR,2015,62957.23375,38828.742,50994396,Asia
Spain,ESP,2015,29904.69583,37373.95,46431344,Europe
Sweden,SWE,2015,59345.39653,50928.965,9849344,Europe
Switzerland,CHE,2015,34425.65481,68159.22,8281735,Europe
Turkey,TUR,2015,18936.04392,25594.66,79646176,Asia
United Kingdom,GBR,2015,32151.32806,44948.336,65224368,Europe
United States,USA,2015,79130.48046,58427.55,324607776,North America
